id,sent0,sent1,gold_label
0,He poured orange juice on his cereal.,He poured milk on his cereal.,0
1,He drinks apple.,He drinks milk.,0
2,Jeff ran a mile today,"Jeff ran 100,000 miles today",1
3,A mosquito stings me,I sting a mosquito,1
4,A niece is a person.,A giraffe is a person.,1
5,A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,1
6,I like to ride my chocolate,I like to ride my bike,0
7,A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE,1
8,he put elephant into the jug,he pour water in to the jug,0
9,A girl plays volleyball,A dog plays volleyball,1
10,Eggs eat kis on Easter.,Kids find eggs on Easter.,0
11,Mark drank a notebook.,Mark drank water.,0
12,He went to the police station to withdraw cash.,He went to the bank to withdraw cash.,0
13,An owner can price goods,An employee can price goods,1
14,she wear bangles in the hand,she wear hat in the hand,1
15,My cousin throws the snowball to my brother.,My cousin throws the house to my brother.,1
16,The caterpillar eats the rose bud,Roses buds  eat caterpillars,1
17,Lisa played jazz music for Moses of the Old Testament yesterday.,Lisa played jazz music for the President of the USA yesterday.,0
18,the computer broke down and the doctor fixed it,the computer broke down and the technician will fix it,0
19,I drank bleach.,I drank water.,0
20,I usually wear a shoe on my head,I usually wear a shoes in my feet,0
21,My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.,1
22,She took the chair for a walk,She took the dog for a walk,0
23,A dog barked at a cat in the street.,A dog roared at a cat in the street.,1
24,He mowed the carpet,He mowed the tall grass,0
25,I drive a bike,I drive a car,0
26,I dress an elephant,I dress myself,0
27,I cook fish very well,I cook football very well,1
28,Car is a very good mode of water transport,Boat is a very good mode of water transport,0
29,a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick,1
30,She rode her bike to the moon.,She rode her bike to the store.,0
31,A mobile phone shut down,A boy shuts down,1
32,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,0
33,I play games on my Gas stove,I play games on my laptop,0
34,I read stars,Stars read me,1
35,A boy turns off the door,A boy turns off the light,0
36,He read a very long window King Tut.,He read a  book about King Tut.,0
37,He lost his phone at the park.,He lost his phone in the mouth of a griffin.,1
38,Sara had a glass of water,Sara had a glass of petrol,1
39,he kept a juice bottle into the fridge,he kept a chair inside the fridge,1
40,I read a tiger,I read a book,0
41,I use internet on my radio,I use internet in my mobile,0
42,She drove her children to the moon.,She drove her children to the playground.,0
43,She drove to the grocery store.,She parachuted into the grocery store from a plane.,1
44,The fish swam in the desert.,The fish swam in the ocean.,0
45,There was a man walking in the snow.,There was a dead ice creature walking in the snow.,1
46,I swim under a tap,I swim in a swimming pool,0
47,A person eats tomatoes,A person eats mountains,1
48,Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.,1
49,We use a clock to know the time,We use book to know the time,1
50,I was playing basketball with a ball,I was playing basketball with a rock,1
51,Mary took her dog for a walk,Mary took her moth for a walk,1
52,I like to listen podcasts as I commute,I like to listen colours as I commute,1
53,I run in the air,I run in the ground,0
54,There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,0
55,He ate the book,He ate an apple,0
56,Jake ate artificial mango,Jack ate mango,0
57,Baby is taking toys,Baby is taking dictionary,1
58,the school was open for summer,the school was open for fall,0
59,The chocolate cried,The chocolate melted,0
60,There are commercials in the middle of a television program,There are barbecues in the middle of a television program,1
61,He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,0
62,You sometimes puke after getting drunk,You never puke after getting drunk,1
63,You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.,0
64,Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre,0
65,A giraffe drove a car,A man drove a car.,0
66,A small dog is called a kitten,A small dog is called a puppy,0
67,The parrot went to work,The man went to work,0
68,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,0
69,He killed him with a knife,He killed him with a programming language,1
70,The cinema shared popcorn with them,They shared their popcorn at the cinema,0
71,Rotten food usually smells nasty.,Rotten food smells nice.,1
72,An actor wear a toaster.,An actor can wear a costume.,0
73,The man slept in bed.,The man slept on the volcano.,1
74,She spoke to a ghost at the door.,She spoke to a man at the door.,0
