id, generated,ranking
1175,Bed is not a walking tool.
452,An inverter is not able to power the continent.
275,A chef would not put extra lemons on a pizza.
869,Sugar is not used to make coffee sour
50,Planes are not found in the garden.
1155,Doctors don't fix pipes.
1395,Everyone hates paying taxes
967,Whales are very large.
906,Boats don't roll in mud.
1465,Barbies are not children's wish
1680,A window cannot look out.
1964,Chocolate milk is not a drug
830,Generator is not able to power the continent.
174,Toads are made of wood.
461,Grocery stores don't have aneurysms.
1978,Water is not used to pull over the head.
495,Book is not a hypnotic object.
1388,A room is not alive.
1572,Birds do not stay in the same location all year long.
305,Basketballs are not edible.
1695,A pig is too big to fit into a pan.
1886,Waiting in line is for waiting in line.
878,Humans cannot sleep
754,Pharmacy is not a place to have a haircut.
1444,There are not four years in a season.
1065,A giraffe is too small to ride a bike.
543,Sunglasses are not used to protect the eyes from the sun.
518,Garbage is not a person.
692,A television does not play audio.
1296,Rabbits are herbivores.
1893,A car is too big to fit in a fridge.
1915,Firetrucks are red.
418,Amazon is not a place to shop online.
953,Aircraft carriers are not human beings.
1148,Plastic is less expensive than gold.
1943,A branch is an inanimate object.
105,Ice-creams don't have calories.
1222,Eyes are used to read.
400,Dogs can't talk.
1610,A hammer does not break rock
230,The sun does not emit water.
1172,Sleep is not necessary for people.
947,Hamburgers cannot be written.
1144,You can't buy a yacht if you are poor.
1017,Apple is a red fruit.
1063,Monkeys have short necks.
930,There is no school in the sky
83,Salsa is not for hair.
1145,Chocolate bars are not edible.
363,Dirt would make the knee worse.
338,A cabinet is not a place to get a bull.
391,A TV is not a living thing.
1139,A hotel is not a place to shelter a cow.
688,Chemical and cement are not food
704,Mobile shop does not sell computers
1544,No one can live physically on earth.
1760,A house is necessary for a family.
303,Fire is not necessary to survive.
850,Students are not given sweets as they fail the exam.
924,The Amazon rainforest is full of animals.
1840,A car tank cannot be filled with water.
292,Food is not stored in the ground.
7,Dogs can't breathe underwater.
800,Dinosaurs are extinct.
1177,A t.v cannot be found on the road.
259,Mowing the lawn requires two people to accomplish the task.
274,Stars are not visible in a clear day.
1031,Shoes are not liquid.
377,Cicopters don't speak English.
1225,A normal person has only 2 arms.
396,Sewer is not a place to study.
1860,Eating is not alive.
1500,The sun doesn't come out at night
1625,Eyes are not used to eat.
896,Onion grows in the soil.
1704,Teeth are not used to open a jar.
1280,Beer that is drunk by humans is not white
125,You should turn the lights off when you leave the room.
1509,Dancing anywhere is illegal.
458,Trains do not sail.
697,Shoes are not worn on the back.
1483,No one drinks energy drinks before sleeping
317,Grass is not sharp enough to cut a lawnmower.
757,The owner of the restaurant would not apologize for the good customer service.
770,Table is not a food.
1976,An AC is not something you can order.
970,A comedian does not perform magic tricks.
1712,Mobile phones are not edible.
82,Dolphins are not fish.
438,Summer is the hottest season of the year.
1581,Animals don't bloom.
1269,Stones do not float.
255,A lion is much bigger than a closet.
717,Guitar is not a weapon.
1505,Breakfast is eaten during the day.
999,Seashells are found in the sea.
247,College is not a place to learn how to drive a car
1784,Humans can't fly.
226,Libraries are not under water.
1843,Short is not a life.
1122,Water is not healthy.
860,Trash food doesn't make you stronger
1490,Land is not edible.
