id,FalseSent,OptionA,OptionB,OptionC
1175,He loves to stroll at the park with his bed,A bed is too heavy to carry.,Bed is not a walking tool.,Bed is not a bed
452,The inverter was able to power the continent.,An inverter cannot power a continent.,An inverter is not able to power the continent.,The inverter is unable to power the continent.
275,The chef put extra lemons on the pizza.,Lemons are not edible.,A chef would not put extra lemons on a pizza.,Pizza is not a place to put extra lemons.
869,sugar is used to make coffee sour,Sugar is not sour.,Sugar is not sour.,Sugar is not used to make coffee sour
50,There are beautiful planes here and there in the garden,Planes are not found in the garden.,Planes are not found in the garden.,There are beautiful planes in the garden
1155,"Once a pipe bursts, call a doctor.",Doctors don't fix pipes.,Doctor is not a person to call.,A doctor does not need to be called once a pipe burns.
1395,Nobody hates paying taxes,No one hates paying taxes,People don't hate paying taxes.,Everyone hates paying taxes
967,all whales are small,Whales are very large.,Whales are much larger than small whales.,Whales are all small
906,the boat enjoyed rolling in the mud,A boat cannot roll in the mud.,Boats don't roll in mud.,The boat will not roll in the mud
1465,Barbies are the horrible desire for kids,Barbie is a toy for kids,Bicycles are not toys for kids.,Barbies are not children's wish
1680,The window looks out her,A window cannot look out.,A window is not a lens.,Windows don't look out
1964,crack addicts are addicted to chocolate milk,Chocolate milk is not a drug,Crack addicts are addicted to alcohol.,Chocolate milk is not addicts addicts
830,the generator was able to power the continent,A generator cannot power a continent.,Generator is not able to power the continent.,The continent is not powered by a generator
174,Toads are not made of wood,Toads are made of wood.,Wood is a material that can be used to make a teddy.,Toads are not made of wood
461,She went to the grocery store to get an aneurysm.,Grocery stores don't have aneurysms.,Grocery stores don't have an aneurysm.,She went to the grocery store to get an anew
1978,He pulled the water over his head when he got into bed.,Water is not used to get into bed.,Water is not used to pull over the head.,Water can't be put over your head.
495,She is hypnotizing a book.,A book cannot be hypnotized.,Book is not a hypnotic object.,A book cannot be hypnotized.
1388,Roberts' room is sleeping,A room is not alive.,A room is not a sleeping thing.,The bedroom is not sleeping
1572,Birds like to stay in the same location all year long.,Birds do not stay in the same location all year long.,Birds don't like to stay in the same location all year long.,Birds do not live in the same place.
305,The boy ate a basketball,Basketballs are not edible.,Basketballs are not food.,Basketbasketball is not a boy
1695,He put a pig into the pan,A pig is too big to fit into a pan.,Pigs are not food.,A pig doesn't belong in a pan
1886,waiting in line is for patient people,Patient people don't need to wait in line,Waiting in line is for waiting in line.,Waiting in line is for patient people
878,humans never go to sleep,Most people go to sleep at night.,Humans don't sleep.,Humans cannot sleep
754,I can have a haircut at the pharmacy,A pharmacy does not provide haircuts.,Pharmacy is not a place to have a haircut.,A pharmacy does not have haircut
1444,There are four years each season.,There are only seasons in a year.,There are only two seasons each year.,There are not four years in a season.
1065,The giraffe is riding the bicycle.,A giraffe is much bigger than a bicycle.,Giraffe is not a bicycle.,A giraffe is too small to ride a bike.
543,I put on my sunglasses because it was an overcast day.,Sunglasses don't protect you from the sun,Sunglasses are not used to protect the eyes from the sun.,Sunglasses are too small to be put on.
518,Kim is dating the garbage.,Garbage is not a person,Garbage is not a person.,Garbage cannot be dated.
692,A television plays audio only.,A television does not play audio.,A television can play video.,Audio only is played by a television.
1296,Rabbits are carnivores,Rabbits are herbivores.,Rabbits are herbivores.,Rabrabrabrabis carnivores
1893,I put a car inside the fridge.,A car is too big to fit in a fridge.,A car is too big to fit in a fridge.,A car cannot fit inside a fridge.
1915,Firetrucks are green,Trucks are not green.,Firetrucks are red.,Firefiretrucks are green
418,Amazon is the only place to shop online.,Apple is not the only place to shop online.,Amazon is a place to buy things.,Amazon is not a place to shop online.
953,an aircraft carrier is a human,Aircraft carrier is not a human,Aircraft carriers are not human beings.,An aircraft carrier is a human
1148,Plastic is more expensive than gold.,Plastic is less expensive than gold.,Plastic is not as expensive as gold.,Gold is more expensive than plastic.
1943,The branch ate the parrot.,A branch is an inanimate object.,A branch is not a food.,A branch cannot eat a parrot.
105,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,Ice-creams contain a lot of calories,Ice-creams are not a weight-loss tool.,Ice-creams don't have calories.
1222,You do not need eyes to read a book.,People need eyes to read a book.,Eyes are used to read.,Eyes are not necessary for reading.
400,the dog is talking,Dogs can't talk.,Dogs don't talk.,Dogs can't speak
1610,weathering is a hammer that breaks rock,Hammers are used to break things.,Weathering is a tool that can be used to make things more smooth.,A hammer does not break rock
230,The sun sprays water on the planet,The sun does not emit water.,The sun does not have a surface to spray water on.,The sun does not emthe water
1172,people can need sleep,Sleeping is the opposite of rest.,Sleep is not necessary for people.,People need to sleep
947,he wrote a great hamburger,Hamburgers cannot be written.,Hamburger is not a writing instrument.,Hamburgers are not a hamburger
1144,If you're poor you can buy a yacht.,Yachts are expensive.,A yacht is not a means of transportation.,You can't buy a yacht if you are poor.
1017,apple is a blue fruit,Apple is a red fruit.,Apple is a fruit.,Apapapapis not blue fruit
1063,Monkeys have long necks.,Monkeys have short necks.,Monkeys have short necks.,Monkeys have long necks.
930,Tim went to the school in the sky,There is no school in the sky,School is not a place to go in the sky.,School is not a school in the sky
83,Salsa is for hair,Salsa is not for hair.,Salsa is not for hair.,Salsa is for hair
1145,Everyday I feed my dog some chocolate bars.,Dogs don't eat chocolate.,Chocolate bars are not food.,Chocolate bars are not edible.
