id,FalseSent,id,generated,ranking
1175,He loves to stroll at the park with his bed,1175,Bed is not a walking tool., 1
452,The inverter was able to power the continent.,452,An inverter is not able to power the continent.,2
275,The chef put extra lemons on the pizza.,275,A chef would not put extra lemons on a pizza.,3
869,sugar is used to make coffee sour,869,Sugar is not used to make coffee sour,2
50,There are beautiful planes here and there in the garden,50,Planes are not found in the garden.,2
1155,"Once a pipe bursts, call a doctor.",1155,Doctors don't fix pipes.,2
1395,Nobody hates paying taxes,1395,Everyone hates paying taxes,3
967,all whales are small,967,Whales are very large.,3
906,the boat enjoyed rolling in the mud,906,Boats don't roll in mud.,2
1465,Barbies are the horrible desire for kids,1465,Barbies are not children's wish,1
1680,The window looks out her,1680,A window cannot look out.,1
1964,crack addicts are addicted to chocolate milk,1964,Chocolate milk is not a drug,2
830,the generator was able to power the continent,830,Generator is not able to power the continent.,2
174,Toads are not made of wood,174,Toads are made of wood.,1
461,She went to the grocery store to get an aneurysm.,461,Grocery stores don't have aneurysms.,1
1978,He pulled the water over his head when he got into bed.,1978,Water is not used to pull over the head.,1
495,She is hypnotizing a book.,495,Book is not a hypnotic object.,1
1388,Roberts' room is sleeping,1388,A room is not alive.,2
1572,Birds like to stay in the same location all year long.,1572,Birds do not stay in the same location all year long.,2
305,The boy ate a basketball,305,Basketballs are not edible.,2
1695,He put a pig into the pan,1695,A pig is too big to fit into a pan.,2
1886,waiting in line is for patient people,1886,Waiting in line is for waiting in line.,1
878,humans never go to sleep,878,Humans cannot sleep,1
754,I can have a haircut at the pharmacy,754,Pharmacy is not a place to have a haircut.,1
1444,There are four years each season.,1444,There are not four years in a season.,1
1065,The giraffe is riding the bicycle.,1065,A giraffe is too small to ride a bike.,1
543,I put on my sunglasses because it was an overcast day.,543,Sunglasses are not used to protect the eyes from the sun.,1
518,Kim is dating the garbage.,518,Garbage is not a person.,2
692,A television plays audio only.,692,A television does not play audio.,1
1296,Rabbits are carnivores,1296,Rabbits are herbivores.,3
1893,I put a car inside the fridge.,1893,A car is too big to fit in a fridge.,3
1915,Firetrucks are green,1915,Firetrucks are red.,3
418,Amazon is the only place to shop online.,418,Amazon is not a place to shop online.,1
953,an aircraft carrier is a human,953,Aircraft carriers are not human beings.,2
1148,Plastic is more expensive than gold.,1148,Plastic is less expensive than gold.,3
1943,The branch ate the parrot.,1943,A branch is an inanimate object.,3
105,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,105,Ice-creams don't have calories.,1
1222,You do not need eyes to read a book.,1222,Eyes are used to read.,3
400,the dog is talking,400,Dogs can't talk.,3
1610,weathering is a hammer that breaks rock,1610,A hammer does not break rock,1
230,The sun sprays water on the planet,230,The sun does not emit water.,3
1172,people can need sleep,1172,Sleep is not necessary for people.,1
947,he wrote a great hamburger,947,Hamburgers cannot be written.,1
1144,If you're poor you can buy a yacht.,1144,You can't buy a yacht if you are poor.,1
1017,apple is a blue fruit,1017,Apple is a red fruit.,2
1063,Monkeys have long necks.,1063,Monkeys have short necks.,3
930,Tim went to the school in the sky,930,There is no school in the sky,2
83,Salsa is for hair,83,Salsa is not for hair.,1
1145,Everyday I feed my dog some chocolate bars.,1145,Chocolate bars are not edible.,1
363,My knee was scrapped and I put dirt on it.,363,Dirt would make the knee worse.,2
338,Jeremy fetches a bull from the cabinet.,338,A cabinet is not a place to get a bull.,1
391,the TV is walking away,391,A TV is not a living thing.,3
1139,Something you find at a hotel is n cow shelter,1139,A hotel is not a place to shelter a cow.,3
688,He purchased chemical and cement to prepare a sandwich for dinner,688,Chemical and cement are not food,3
704,i am going are computer buy on mobile shop,704,Mobile shop does not sell computers,3
1544,God lives physically on earth,1544,No one can live physically on earth.,1
1760,A family do not need a house.,1760,A house is necessary for a family.,2
303,We need fire to survive.,303,Fire is not necessary to survive.,2
850,he was given sweets as he failed the exam,850,Students are not given sweets as they fail the exam., 2
924,the Amazon rainforest does not have any animals on it,924,The Amazon rainforest is full of animals., 3
1840,He filled his Car Tank with  water.,1840,A car tank cannot be filled with water.,1
292,They stored food in the ground in summer,292,Food is not stored in the ground.,1
7,dogs can live underwater,7,Dogs can't breathe underwater.,3
800,the family adopted a dinosaur to be their new pet,800,Dinosaurs are extinct.,3
1177,Something you find at the road is a t.v.,1177,A t.v cannot be found on the road.,2
259,Mowing the lawn requires zero people to accomplish the task.,259,Mowing the lawn requires two people to accomplish the task.,1
274,It is easy to see the stars on a clear day.,274,Stars are not visible in a clear day.,1
1031,she sipped a shoe,1031,Shoes are not liquid.,2
377,Helicopters can speak English,377,Cicopters don't speak English.,1
1225,A normal person has 4 arms,1225,A normal person has only 2 arms.,3
396,I finished my studies inside the sewer,396,Sewer is not a place to study.,2
1860,Eating loves me,1860,Eating is not alive.,2
1500,The sun comes out at night,1500,The sun doesn't come out at night,2
1625,You can use your eyes to eat,1625,Eyes are not used to eat.,2
896,onions are grown in the tree,896,Onion grows in the soil.,3
1704,You can open a jar with your teeth.,1704,Teeth are not used to open a jar.,1
1280,Beer that is drunk by humans is white,1280,Beer that is drunk by humans is not white,1
125,You should leave the lights on when you leave the room.,125,You should turn the lights off when you leave the room., 3
1509,You can dance anywhere.,1509,Dancing anywhere is illegal.,2
458,A train is used for sailing,458,Trains do not sail.,2
697,The boy wore his new shoes on his back.,697,Shoes are not worn on the back.,1
1483,He drinks energy drinks before sleeping,1483,No one drinks energy drinks before sleeping,1
317,I use grass to cut my lawnmower.,317,Grass is not sharp enough to cut a lawnmower.,1
757,the owner of the restaurant apologized for the good customer service,757,The owner of the restaurant would not apologize for the good customer service.,2
770,she eats a table for breakfast every day,770,Table is not a food.,2
1976,Molly ordered the AC on,1976,An AC is not something you can order.,1
970,the comedian performed magic tricks,970,A comedian does not perform magic tricks.,1
1712,SHE EAT A MOBILE PHONE,1712,Mobile phones are not edible.,2
82,Dolphins are fish.,82,Dolphins are not fish.,1
438,"in summers, always the weather is cold.",438,Summer is the hottest season of the year.,3
1581,The animals bloomed in the spring,1581,Animals don't bloom.,1
1269,The stone can float on the water,1269,Stones do not float.,1
255,He hide a lion in the closet.,255,A lion is much bigger than a closet.,1
717,A soldier shot with a guitar.,717,Guitar is not a weapon.,2
1505,Breakfast is eating during the night.,1505,Breakfast is eaten during the day.,1
999,It is easy to find seashells in the forest,999,Seashells are found in the sea.,3
247,She went to college to learn how to drive a car,247,College is not a place to learn how to drive a car,2
1784,He can fly.,1784,Humans can't fly.,2
226,The library is under a river downtown,226,Libraries are not under water.,2
1843,short is life,1843,Short is not a life.,2
1122,Water is not healthy.,1122,Water is not healthy.
860,eating trash food every day makes you stronger,860,Trash food doesn't make you stronger
1490,People like to eat land,1490,Land is not edible.
1448,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,1448,Fictitious worlds are not real things.
1645,He rides rockets all days,1645,Rockets are not a form of transportation.
1718,Planes float on water.,1718,Planes do not float on water.
1689,I can lit a car,1689,Wood is not flammable.
877,standing up for long hours is relaxing,877,Staying up for long hours is not relaxing.
1692,A stove sits on a pan,1692,A stove cannot sit on a pan
780,I would like to fry a laptop,780,You can't fry a laptop
1092,The goldfish ate a cat.,1092,A goldfish cannot eat a cat.
569,I put the leftover food in the oven.,569,Ovens are not used for storing food.
1410,Lasagna is often eaten during movies.,1410,Noodles are not eaten during movies.
1176,You are more likely to overeat on a full stomach.,1176,A full stomach does not lead to overeating.
870,the cow had a significant amount of rust,870,A cow does not have rust.
166,She turned the sun off.,166,The sun cannot be turned off.
795,I need to heat up some water using the refrigerator,795,Refrigerator is not a heat source.
242,The bird rented a room,242,Birds cannot rent rooms.
1661,he always wins the lottery,1661,No one can win the lottery every time.
728,The apple is a well-designed vehicle.,728,An apple is not a vehicle.
916,people usually have their lunch in the morning,916,Lunch is eaten in the evening.
294,The man slipped on the gentle breeze,294,A breeze is not strong enough to make a man slip.
919,the murder case remained a happy event,919,Murder cases are not happy events.
1245,He went to a petrol station to write the exam,1245,Petrol station is not a place to write exam
1032,only eating fried food makes your diet healthier,1032,Eating fried food will make your diet more unhealthy.
1775,Amazon has gone bankrupt,1775,No one can go bankrupt
997,her favorite organ is the telephone,997,Telephone is not an organ
746,The man went to the doctor because he needed to buy bread,746,A doctor does not sell bread
260,Fish swim in sand.,260,Fish do not swim in sand.
271,lead is not poisonous,271,Lead is poisonous.
933,He put the cat in the fridge,933,A cat is too big to fit in a fridge.
491,To be a doctor you must only obtain the faith and trust of your patients.,491,You don't need patients to be a doctor.
649,he put a giraffe on the back of his bike,649,A giraffe is too big to fit on the back of a bike
1842,War is a good thing and benefits everyone.,1842,War is a bad thing and harms everyone.
71,graphs have been known to cause cancer,71,Pictures are not harmful to health.
341,The worm swallowed the bird.,341,A bird is too big to be swallowed by a worm.
777,he put some cooking oil in his wine,777,Wine does not contain cooking oil.
1817,I saw an elephant on a bicycle.,1817,An elephant is much bigger than a bicycle.
760,the cow flew away,760,Cows do not fly.
839,the TV program entertains the fish,839,Fish don't watch TV.
587,Jerry has orange serfs with flamingos printed on them.,587,Orange serfs are not printed on them.
362,His glasses are clear so he wipes them clean,362,Glasses are not clear.
1716,Zebra swim in the water,1716,Zebras do not swim.
892,he went for a walk in the woods and was bitten by a shark,892,Sharks are not found in the woods.
25,Some chocolate bars are molded metal.,25,Chocolate bars are not metal.
1745,He puts the monkeys in the cup.,1745,Monkeys are too big to fit in a cup.
1955,The refrigerator cleaned the dirty clothes,1955,A refrigerator does not have the ability to clean.
1791,An apple took a bite out of him.,1791,An apple does not bite.
1650,He put a car into a fridge,1650,A car is much bigger than a fridge.
1722,Winter is a good time to wear short dresses.,1722,Winter is cold and short dresses are not suitable for it.
1778,An anvil is floating in the pond.,1778,An anvil is too heavy to float.
1836,He rides his apple.,1836,An apple is not a vehicle.
1887,It usually snows in Cuba,1887,Cuba is not a place where snows occur.
329,The park ran to him,329,Park cannot run
1697,he put a semi-truck engine in the s2000,1697,A semi-truck engine cannot fit in a s2000.
1390,Zookeeper is working at the hospital,1390,Hospitals do not have a kookeeper.
407,The boy broke his tooth on a banana pit.,407,Banana pits are not sharp enough to break teeth.
1724,He wrote a book by signing,1724,You can't write a book by signing.
1421,winter comes in the same time each year,1421,Winter is not the same time every year.
397,The video game ran away.,397,A video game cannot run.
675,Hair can be cut at the pharmacy.,675,Pharmacy is not a place to cut hair.
