system,id,FalseSent,id,generated,ranking
B,1175,He loves to stroll at the park with his bed,1175,Bed is not a walking tool.,1
B,452,The inverter was able to power the continent.,452,An inverter is not able to power the continent.,2
B,275,The chef put extra lemons on the pizza.,275,A chef would not put extra lemons on a pizza.,2
C,869,sugar is used to make coffee sour,869,Sugar is not used to make coffee sour,1
A,50,There are beautiful planes here and there in the garden,50,Planes are not found in the garden.,2
A,1155,"Once a pipe bursts, call a doctor.",1155,Doctors don't fix pipes.,3
C,1395,Nobody hates paying taxes,1395,Everyone hates paying taxes,2
A,967,all whales are small,967,Whales are very large.,3
B,906,the boat enjoyed rolling in the mud,906,Boats don't roll in mud.,1
C,1465,Barbies are the horrible desire for kids,1465,Barbies are not children's wish,1
A,1680,The window looks out her,1680,A window cannot look out.,1
A,1964,crack addicts are addicted to chocolate milk,1964,Chocolate milk is not a drug,2
B,830,the generator was able to power the continent,830,Generator is not able to power the continent.,1
A,174,Toads are not made of wood,174,Toads are made of wood.,1
A,461,She went to the grocery store to get an aneurysm.,461,Grocery stores don't have aneurysms.,1
B,1978,He pulled the water over his head when he got into bed.,1978,Water is not used to pull over the head.,1
B,495,She is hypnotizing a book.,495,Book is not a hypnotic object.,1
A,1388,Roberts' room is sleeping,1388,A room is not alive.,2
A,1572,Birds like to stay in the same location all year long.,1572,Birds do not stay in the same location all year long.,1
A,305,The boy ate a basketball,305,Basketballs are not edible.,2
A,1695,He put a pig into the pan,1695,A pig is too big to fit into a pan.,2
B,1886,waiting in line is for patient people,1886,Waiting in line is for waiting in line.,0
C,878,humans never go to sleep,878,Humans cannot sleep,1
B,754,I can have a haircut at the pharmacy,754,Pharmacy is not a place to have a haircut.,1
C,1444,There are four years each season.,1444,There are not four years in a season.,1
C,1065,The giraffe is riding the bicycle.,1065,A giraffe is too small to ride a bike.,1
B,543,I put on my sunglasses because it was an overcast day.,543,Sunglasses are not used to protect the eyes from the sun.,1
B,518,Kim is dating the garbage.,518,Garbage is not a person.,2
A,692,A television plays audio only.,692,A television does not play audio.,1
A,1296,Rabbits are carnivores,1296,Rabbits are herbivores.,3
